name,planet_type,detection_method,discovery_year,year_class,mass_jup,rayon_jup,orbital_radius,orbital_period,eccentricity,distance,luminosité
Kepler-1582 b,Super Earth,Transit,2016,2010–2020,0.0089145,0.132908,0.0316,0.013141684,0.0,257.0,17.96
Kepler-1583 b,Terrestrial,Transit,2016,2010–2020,0.0004914,0.05352,0.085,0.025462013,0.0,1318.0,12.976
Kepler-1584 b,Super Earth,Transit,2016,2010–2020,0.010143000000000001,0.14361200000000002,0.1168,0.0366872,0.0,4620.0,15.105
Kepler-1585 b,Super Earth,Transit,2016,2010–2020,0.012159,0.159668,0.0445,0.009856262,0.0,3081.0,16.326
Kepler-1586 b,Super Earth,Transit,2016,2010–2020,0.009198,0.135584,0.1266,0.042710472,0.0,1802.0,13.278
Kepler-1587 b,Super Earth,Transit,2016,2010–2020,0.0073395000000000005,0.118636,0.0878,0.025735795,0.0,3348.0,14.166
Kepler-1588 b,Terrestrial,Transit,2016,2010–2020,0.00114345,0.067792,0.0726,0.021355236,0.0,3015.0,13.94
Kepler-1589 b,Super Earth,Transit,2016,2010–2020,0.004158,0.09722800000000001,0.0205,0.0027378509,0.0,4936.0,15.074
Kepler-158 b,Neptune-like,Transit,2014,2010–2020,0.016191,0.18910400000000002,0.111,0.045722112,0.0,1028.0,14.743
Kepler-158 c,Super Earth,Transit,2014,2010–2020,0.013450499999999999,0.16948,0.158,0.07830253,0.0,1028.0,14.743
Kepler-1590 b,Super Earth,Transit,2016,2010–2020,0.0048825000000000006,0.10168799999999999,0.0772,0.020807665,0.0,2515.0,14.186
Kepler-1591 b,Super Earth,Transit,2016,2010–2020,0.0067725,0.11328400000000001,0.0794,0.022450376,0.0,4631.0,14.846
Kepler-1592 b,Super Earth,Transit,2016,2010–2020,0.009418500000000002,0.13736800000000002,0.04,0.008487337,0.0,5348.0,14.94
Kepler-1593 b,Neptune-like,Transit,2016,2010–2020,0.03213,0.283,0.546,0.47775495,0.0,2082.0,16.19
Kepler-1594 b,Super Earth,Transit,2016,2010–2020,0.00378,0.09455200000000001,0.0396,0.0073921974,0.0,3187.0,14.951
Kepler-1595 b,Super Earth,Transit,2016,2010–2020,0.006426,0.109716,0.051,0.012594113,0.0,2756.0,15.508
Kepler-1596 b,Super Earth,Transit,2016,2010–2020,0.013450499999999999,0.16948,0.3237,0.1817933,0.0,7001.0,15.632
Kepler-1597 b,Super Earth,Transit,2016,2010–2020,0.00378,0.09455200000000001,0.0427,0.007939767,0.0,3983.0,14.257
Kepler-1598 b,Terrestrial,Transit,2016,2010–2020,0.00254835,0.08474,0.0527,0.011772759,0.0,2022.0,13.929
Kepler-1599 b,Super Earth,Transit,2016,2010–2020,0.010268999999999999,0.14450400000000002,0.4823,0.33511293,0.0,4333.0,14.97
Kepler-159 b,Neptune-like,Transit,2014,2010–2020,0.019719,0.212,0.082,0.027652293,0.0,1219.0,15.386
Kepler-159 c,Neptune-like,Transit,2014,2010–2020,0.036225,0.304,0.218,0.11937029,0.0,1219.0,15.386
Kepler-15 b,Gas Giant,Transit,2011,2010–2020,0.66,0.96,0.05714,0.013415469,0.06,2412.0,13.81
Kepler-1600 b,Neptune-like,Transit,2016,2010–2020,0.031374000000000006,0.279,0.9712,1.0579056,0.0,3363.0,16.076
Kepler-1600 c,Super Earth,Transit,2021,After 2020,0.0139545,0.1732264,0.0689,0.019986311,0.0,3363.0,16.076
Kepler-1601 b,Terrestrial,Transit,2016,2010–2020,0.0015025499999999998,0.073144,0.0336,0.006023272,0.0,2102.0,13.842
Kepler-1602 b,Super Earth,Transit,2016,2010–2020,0.007434,0.11952800000000001,0.1074,0.030663928,0.0,2054.0,13.362
Kepler-1603 b,Super Earth,Transit,2016,2010–2020,0.0069615,0.115068,0.0351,0.0062970566,0.0,8848.0,15.397
Kepler-1604 b,Super Earth,Transit,2016,2010–2020,0.0080955,0.125772,0.0089,0.0019164955,0.0,1765.0,15.224
Kepler-1605 b,Super Earth,Transit,2016,2010–2020,0.004032,0.096336,0.3912,0.23490761,0.0,1782.0,12.592
Kepler-1606 b,Super Earth,Transit,2016,2010–2020,0.015561000000000002,0.184644,0.6421,0.5377139,0.0,2712.0,15.396
Kepler-1607 b,Terrestrial,Transit,2016,2010–2020,0.00227115,0.082064,0.1075,0.037234772,0.0,4195.0,13.969
Kepler-1608 b,Super Earth,Transit,2016,2010–2020,0.011466,0.154316,0.1126,0.04517454,0.0,2714.0,16.265
Kepler-1609 b,Neptune-like,Transit,2016,2010–2020,0.017514,0.19802400000000003,0.4679,0.31293637,0.0,5957.0,15.159
Kepler-160 b,Super Earth,Transit,2014,2010–2020,0.011308499999999999,0.152978,0.05511,0.011772759,0.0,3057.0,14.816
Kepler-160 c,Neptune-like,Transit,2014,2010–2020,0.042839999999999996,0.335,0.1192,0.037508555,0.0,3057.0,14.816
Kepler-1610 b,Super Earth,Transit,2016,2010–2020,0.010143000000000001,0.14361200000000002,0.0777,0.023819301,0.0,2819.0,16.077
Kepler-1611 b,Terrestrial,Transit,2016,2010–2020,0.0014395500000000002,0.07225200000000001,0.0586,0.014236824,0.0,2963.0,14.627
Kepler-1612 b,Super Earth,Transit,2016,2010–2020,0.003402,0.091876,0.0482,0.010677618,0.0,2495.0,14.936
Kepler-1613 b,Super Earth,Transit,2016,2010–2020,0.015687000000000003,0.185536,0.0264,0.0041067763,0.0,4920.0,14.192
Kepler-1614 b,Super Earth,Transit,2016,2010–2020,0.0089145,0.132908,0.0471,0.010677618,0.0,3886.0,16.01
Kepler-1615 b,Super Earth,Transit,2016,2010–2020,0.015435,0.183752,0.2788,0.12950034,0.0,4547.0,14.603
Kepler-1616 b,Super Earth,Transit,2016,2010–2020,0.0032760000000000003,0.09098400000000001,0.0761,0.018617386,0.0,3712.0,13.491
Kepler-1617 b,Super Earth,Transit,2016,2010–2020,0.005890500000000001,0.10704,0.181,0.075290896,0.0,2930.0,13.811
Kepler-1618 b,Super Earth,Transit,2016,2010–2020,0.006709499999999999,0.112392,0.0706,0.01670089,0.0,4010.0,13.672
Kepler-1619 b,Terrestrial,Transit,2016,2010–2020,0.00114345,0.067792,0.1611,0.06461328,0.0,2397.0,13.438
Kepler-161 b,Super Earth,Transit,2014,2010–2020,0.038114999999999996,0.18910400000000002,0.054,0.013415469,0.0,1418.0,14.406
Kepler-161 c,Super Earth,Transit,2014,2010–2020,0.03717,0.18286,0.068,0.01943874,0.0,1418.0,14.406
Kepler-1620 b,Super Earth,Transit,2016,2010–2020,0.010143000000000001,0.14361200000000002,0.4322,0.27926078,0.0,2920.0,13.69
Kepler-1621 b,Neptune-like,Transit,2016,2010–2020,0.0167265,0.192672,0.4204,0.25270364,0.0,5322.0,15.151
Kepler-1622 b,Super Earth,Transit,2016,2010–2020,0.008693999999999999,0.131124,0.0994,0.02956879,0.0,2598.0,13.437
Kepler-1623 b,Super Earth,Transit,2016,2010–2020,0.0071505,0.11685200000000001,0.0518,0.012046544,0.0,2732.0,15.205
Kepler-1624 b,Neptune-like,Transit,2016,2010–2020,0.08694,0.509,0.0327,0.009034907,0.0,845.0,16.597
Kepler-1625 b,Neptune-like,Transit,2016,2010–2020,0.09639,0.541,0.8748,0.7868583,0.0,7536.0,16.227
Kepler-1626 b,Super Earth,Transit,2016,2010–2020,0.014931000000000002,0.180184,0.0537,0.011225188,0.0,4465.0,14.357
Kepler-1627 b,Neptune-like,Transit,2016,2010–2020,0.04158,0.329,0.0643,0.019712524,0.0,1035.0,13.111
Kepler-1628 b,Neptune-like,Transit,2016,2010–2020,0.10647,0.574,0.2952,0.2091718,0.0,1148.0,17.8298
Kepler-1629 b,Terrestrial,Transit,2016,2010–2020,0.00120015,0.06868400000000001,0.0485,0.010677618,0.0,1096.0,12.786
Kepler-162 b,Super Earth,Transit,2014,2010–2020,0.006709499999999999,0.112392,0.069,0.01889117,0.0,2791.0,14.351
Kepler-162 c,Neptune-like,Transit,2014,2010–2020,0.0297045,0.27,0.137,0.053114302,0.0,2791.0,14.351
Kepler-1630 b,Neptune-like,Transit,2016,2010–2020,0.017104499999999998,0.195348,1.1218,1.4,0.0,1080.0,14.278
Kepler-1631 b,Super Earth,Transit,2016,2010–2020,0.0075285000000000005,0.12042000000000001,0.0511,0.011225188,0.0,4260.0,15.673
Kepler-1632 b,Neptune-like,Transit,2016,2010–2020,0.020979,0.22,0.6762,1.2273785,0.0,2338.0,13.22
Kepler-1633 b,Super Earth,Transit,2016,2010–2020,0.009828,0.140936,0.3875,0.5103354,0.0,3637.0,13.516
Kepler-1634 b,Neptune-like,Transit,2016,2010–2020,0.032445,0.285,1.0525,1.0264202,0.0,2014.0,14.636
Kepler-1635 b,Neptune-like,Transit,2016,2010–2020,0.040635000000000004,0.325,1.117,1.2856947,0.0,3489.0,15.82
Kepler-1636 b,Neptune-like,Transit,2016,2010–2020,0.033075,0.288,1.1546,1.1649555,0.0,6353.0,15.807
Kepler-1637 b,Terrestrial,Transit,2016,2010–2020,0.002016,0.079388,0.0596,0.01670089,0.0,1850.0,13.375
Kepler-1638 b,Super Earth,Transit,2016,2010–2020,0.013104000000000001,0.166804,0.745,0.7099247,0.0,4976.0,14.769
Kepler-1639 b,Neptune-like,Transit,2016,2010–2020,0.022616999999999998,0.23,0.0932,0.027104722,0.0,3364.0,14.593
Kepler-163 b,Super Earth,Transit,2014,2010–2020,0.0036539999999999997,0.09366000000000001,0.078,0.021355236,0.0,2250.0,14.467
Kepler-163 c,Neptune-like,Transit,2014,2010–2020,0.018049500000000003,0.202,0.152,0.05831622,0.0,2250.0,14.467
Kepler-1640 b,Neptune-like,Transit,2016,2010–2020,0.065205,0.43,0.0836,0.020807665,0.0,6067.0,14.754
Kepler-1641 b,Neptune-like,Transit,2016,2010–2020,0.0310275,0.277,0.1473,0.053935662,0.0,2807.0,14.49
Kepler-1641 c,Neptune-like,Transit,2016,2010–2020,0.0283815,0.263,0.2065,0.089527726,0.0,2807.0,14.49
Kepler-1642 b,Neptune-like,Transit,2016,2010–2020,0.032445,0.285,0.1016,0.03340178,0.0,1350.0,14.319
Kepler-1642 c,Neptune-like,Transit,2016,2010–2020,0.023814,0.237,0.0678,0.0183436,0.0,1350.0,14.319
Kepler-1643 b,Neptune-like,Transit,2016,2010–2020,0.0188685,0.207,0.0531,0.01451061,0.0,1115.0,14.072
Kepler-1644 b,Super Earth,Transit,2016,2010–2020,0.013198500000000002,0.16769599999999998,0.142,0.057768654,0.0,2053.0,14.397
Kepler-1645 b,Super Earth,Transit,2016,2010–2020,0.012033,0.158776,0.1285,0.044353183,0.0,3922.0,14.566
Kepler-1646 b,Super Earth,Transit,2016,2010–2020,0.006426,0.109716,0.0295,0.0123203285,0.0,416.0,16.8419
Kepler-1647 b,Gas Giant,Transit,2016,2010–2020,1.51968,1.059,2.7205,3.0,0.06,3955.0,13.668
Kepler-1649 b,Super Earth,Transit,2017,2010–2020,0.0032445,0.09071639999999999,0.0514,0.023819301,0.0,301.0,17.95
Kepler-1649 c,Super Earth,Transit,2020,2010–2020,0.00378,0.09455200000000001,0.0649,0.05338809,0.0,301.0,17.95
Kepler-164 b,Super Earth,Transit,2014,2010–2020,0.0080955,0.125772,0.058,0.0136892535,0.0,2906.0,14.379
Kepler-164 c,Neptune-like,Transit,2014,2010–2020,0.024885,0.244,0.097,0.029842572,0.0,2906.0,14.379
Kepler-164 d,Neptune-like,Transit,2014,2010–2020,0.020695500000000002,0.219,0.187,0.07939767,0.0,2906.0,14.379
Kepler-1650 b,Terrestrial,Transit,2017,2010–2020,0.002646,0.085632,0.0167,0.0041067763,0.01,438.0,17.07
Kepler-1651 b,Super Earth,Transit,2017,2010–2020,0.012726,0.164128,0.0692,0.027104722,0.13,217.0,13.86
Kepler-1652 b,Super Earth,Transit,2017,2010–2020,0.0100485,0.14272,0.1654,0.104312114,0.0,822.0,16.86
Kepler-1653 b,Neptune-like,Transit,2017,2010–2020,0.0168525,0.19356399999999999,0.4706,0.38412046,0.0,2463.0,15.864
Kepler-1654 b,Gas Giant,Transit,2018,2010–2020,0.5,0.819,2.026,2.9,0.26,1853.0,13.497
Kepler-1655 b,Neptune-like,Transit,2018,2010–2020,0.01575,0.1973996,0.103,0.032580424,0.0,696.0,11.045
Kepler-1656 b,Gas Giant,Transit,2018,2010–2020,0.15,0.448,0.1974,0.08651608,0.84,606.0,11.64
Kepler-1656 c,Gas Giant,Radial Velocity,2022,After 2020,0.4,1.25,3.053,5.3,0.53,606.0,11.64
Kepler-1658 b,Gas Giant,Transit,2019,2010–2020,5.88,01.07,0.0544,0.010403832,0.06,2571.0,11.62
Kepler-165 b,Neptune-like,Transit,2014,2010–2020,0.0188685,0.207,0.072,0.022450376,0.0,1830.0,15.05
Kepler-165 c,Neptune-like,Transit,2014,2010–2020,0.01764,0.198916,0.11,0.041889116,0.0,1830.0,15.05
Kepler-1661 b,Neptune-like,Transit,2020,2010–2020,0.05355,0.345,0.633,0.47939768,0.06,1339.0,14.357
Kepler-1663 b,Neptune-like,Transit,2020,2010–2020,0.034335000000000004,0.295,0.1072,0.048186176,0.0,1102.0,16.069
Kepler-1664 b,Neptune-like,Transit,2020,2010–2020,0.0297675,0.271,0.1137,0.03942505,0.0,2044.0,13.621
Kepler-1665 b,Neptune-like,Transit,2020,2010–2020,0.026586,0.253,0.1006,0.03285421,0.0,1094.0,13.737
Kepler-1666 b,Neptune-like,Transit,2020,2010–2020,0.027279,0.257,0.1761,0.07063655,0.0,4500.0,15.104
Kepler-1666 c,Neptune-like,Transit,2020,2010–2020,0.033075,0.289,0.2383,0.111430526,0.0,4500.0,15.104
Kepler-1667 b,Neptune-like,Transit,2020,2010–2020,0.0289485,0.266,0.4256,0.22888432,0.0,2045.0,13.52
Kepler-1668 b,Neptune-like,Transit,2020,2010–2020,0.05481,0.388,0.124,0.042162903,0.0,4357.0,15.792
Kepler-1669 b,Neptune-like,Transit,2020,2010–2020,0.0256725,0.248,0.0745,0.026009582,0.0,1773.0,16.473
Kepler-1669 c,Super Earth,Transit,2021,After 2020,0.013450499999999999,0.1695692,0.0228,0.0043805614,0.0,1773.0,16.473
Kepler-166 b,Neptune-like,Transit,2014,2010–2020,0.018175499999999997,0.203,0.072,0.021081451,0.0,1969.0,14.857
Kepler-166 c,Neptune-like,Transit,2014,2010–2020,0.019719,0.212,0.195,0.09390828,0.0,1969.0,14.857
Kepler-166 d,Super Earth,Transit,2016,2010–2020,0.011466,0.154316,0.0246,0.0043805614,0.0,1969.0,14.857
Kepler-1670 b,Neptune-like,Transit,2020,2010–2020,0.03528,0.299,0.1528,0.056125943,0.0,6739.0,15.743
Kepler-1671 b,Super Earth,Transit,2020,2010–2020,0.007307999999999999,0.11827920000000001,0.0491,0.011498973,0.0,1165.0,13.439
Kepler-1672 b,Neptune-like,Transit,2020,2010–2020,0.0286965,0.265,0.5726,0.41314167,0.0,1276.0,12.548
Kepler-1673 b,Neptune-like,Transit,2020,2010–2020,0.028129499999999998,0.262,0.2127,0.092539355,0.0,2372.0,13.783
Kepler-1674 b,Neptune-like,Transit,2020,2010–2020,0.032760000000000004,0.286,0.3017,0.17138946,0.0,3303.0,15.697
Kepler-1675 b,Neptune-like,Transit,2020,2010–2020,0.0312795,0.279,0.3076,0.1724846,0.0,2124.0,13.672
Kepler-1677 b,Neptune-like,Transit,2020,2010–2020,0.024444,0.241,0.1624,0.060506504,0.0,2399.0,13.806
Kepler-1678 b,Neptune-like,Transit,2020,2010–2020,0.034335000000000004,0.295,0.5302,0.4052019,0.0,2764.0,15.02
Kepler-1679 b,Super Earth,Transit,2020,2010–2020,0.0155295,0.1845548,0.0892,0.026830938,0.0,2966.0,15.327
Kepler-167 b,Super Earth,Transit,2014,2010–2020,0.011340000000000001,0.1532456,0.04825,0.012046544,0.0,1115.0,14.284
Kepler-167 c,Super Earth,Transit,2014,2010–2020,0.010836,0.1493208,0.0684,0.020260096,0.0,1115.0,14.284
Kepler-167 d,Super Earth,Transit,2016,2010–2020,0.006489,0.1104296,0.1404,0.059685145,0.0,1115.0,14.284
Kepler-167 e,Gas Giant,Transit,2016,2010–2020,01.01,0.906,1.883,2.9,0.29,1115.0,14.284
Kepler-1680 b,Super Earth,Transit,2020,2010–2020,0.007623,0.12131200000000002,0.0784,0.024093088,0.0,1012.0,13.85
Kepler-1681 b,Neptune-like,Transit,2020,2010–2020,0.022207499999999998,0.228,0.32,0.19137578,0.0,2474.0,14.646
Kepler-1682 b,Neptune-like,Transit,2020,2010–2020,0.027405,0.258,0.1134,0.04052019,0.0,3783.0,15.907
Kepler-1683 b,Super Earth,Transit,2020,2010–2020,0.0131355,0.16725,0.1182,0.04106776,0.0,2392.0,14.962
Kepler-1684 b,Neptune-like,Transit,2020,2010–2020,0.02709,0.256,0.2253,0.13059549,0.0,2029.0,15.951
Kepler-1685 b,Neptune-like,Transit,2020,2010–2020,0.022554,0.23,0.1485,0.056125943,0.0,3725.0,16.096
Kepler-1686 b,Super Earth,Transit,2020,2010–2020,0.008253,0.12719919999999998,0.0866,0.025462013,0.0,2381.0,13.661
Kepler-1687 b,Super Earth,Transit,2020,2010–2020,0.010647,0.1477152,0.0532,0.015879534,0.0,1360.0,15.928
Kepler-1688 b,Super Earth,Transit,2020,2010–2020,0.006709499999999999,0.1125704,0.0577,0.015331964,0.0,1851.0,14.142
Kepler-1689 b,Terrestrial,Transit,2020,2010–2020,0.00251685,0.0844724,0.0798,0.023271732,0.0,959.0,12.227
Kepler-168 b,Super Earth,Transit,2014,2010–2020,0.0085995,0.130232,0.056,0.012046544,0.0,4383.0,14.842
Kepler-168 c,Neptune-like,Transit,2014,2010–2020,0.024255000000000002,0.24,0.116,0.03613963,0.0,4383.0,14.842
Kepler-1690 b,Neptune-like,Transit,2020,2010–2020,0.026145,0.251,0.7097,0.64229983,0.0,2296.0,14.882
Kepler-1691 b,Super Earth,Transit,2020,2010–2020,0.012662999999999999,0.163682,0.0495,0.010403832,0.0,4135.0,14.893
Kepler-1692 b,Super Earth,Transit,2020,2010–2020,0.0044729999999999995,0.09919040000000001,0.0646,0.016427105,0.0,1928.0,14.674
Kepler-1693 b,Super Earth,Transit,2020,2010–2020,0.0069615,0.11497879999999999,0.1011,0.033127997,0.0,2479.0,14.857
Kepler-1693 c,Terrestrial,Transit,2021,After 2020,0.0028161,0.0871484,0.0588,0.014784395,0.0,2479.0,14.857
Kepler-1694 b,Super Earth,Transit,2020,2010–2020,0.005544,0.105256,0.0449,0.010677618,0.0,1674.0,14.901
Kepler-1695 b,Super Earth,Transit,2020,2010–2020,0.004599,0.0998148,0.0529,0.012867898,0.0,2581.0,14.762
Kepler-1696 b,Neptune-like,Transit,2020,2010–2020,0.026113499999999998,0.251,0.3244,0.18042438,0.0,4914.0,15.505
Kepler-1697 b,Super Earth,Transit,2020,2010–2020,0.006678000000000001,0.112392,0.2008,0.091718,0.0,808.0,13.556
Kepler-1698 b,Super Earth,Transit,2020,2010–2020,0.0039375,0.0957116,0.0203,0.003285421,0.0,725.0,13.054
Kepler-1699 b,Super Earth,Transit,2020,2010–2020,0.009702,0.1397764,0.0418,0.009582478,0.0,2671.0,14.836
Kepler-169 b,Super Earth,Transit,2014,2010–2020,0.0047565,0.100796,0.04,0.009034907,0.0,1326.0,14.424
Kepler-169 c,Super Earth,Transit,2014,2010–2020,0.0060479999999999996,0.107932,0.062,0.016974675,0.0,1326.0,14.424
Kepler-169 d,Super Earth,Transit,2014,2010–2020,0.006615,0.1115,0.075,0.022724163,0.0,1326.0,14.424
Kepler-169 e,Neptune-like,Transit,2014,2010–2020,0.017262000000000003,0.19624000000000003,0.105,0.03778234,0.0,1326.0,14.424
Kepler-169 f,Neptune-like,Transit,2014,2010–2020,0.022616999999999998,0.23,0.359,0.2384668,0.0,1326.0,14.424
Kepler-16 b,Gas Giant,Transit,2011,2010–2020,0.333,0.754,0.7048,0.62642026,0.01,245.0,12.144
Kepler-1700 b,Neptune-like,Transit,2020,2010–2020,0.027594,0.259,0.7576,0.64120466,0.0,2341.0,13.764
Kepler-1701 b,Neptune-like,Transit,2020,2010–2020,0.017545500000000002,0.1982024,0.5608,0.46297058,0.0,1905.0,14.722
Kepler-1702 b,Super Earth,Transit,2020,2010–2020,0.01008,0.1428984,0.1275,0.05065024,0.0,2796.0,16.231
Kepler-1704 b,Gas Giant,Transit,2013,2010–2020,4.16,1.066,2.027,2.7,0.92,2725.0,13.392
Kepler-1705 b,Neptune-like,Transit,2014,2010–2020,0.0140805,0.181076,0.08,0.024640657,0.03,5328.0,15.8
Kepler-1708 b,Gas Giant,Transit,2021,After 2020,4.6,0.889,1.64,2.0,0.4,5437.0,15.823
Kepler-1709 b,Neptune-like,Transit,2021,After 2020,0.0312795,0.279,0.3192,0.17987679,0.0,894.0,11.642
Kepler-170 b,Gas Giant,Transit,2014,2010–2020,0.26,0.285,0.08,0.02162902,0.0,2409.0,14.344
Kepler-170 c,Neptune-like,Transit,2014,2010–2020,0.0269325,0.255,0.131,0.045722112,0.0,2409.0,14.344
Kepler-1710 b,Neptune-like,Transit,2021,After 2020,0.032445,0.285,0.1159,0.040793974,0.0,996.0,12.695
Kepler-1711 b,Super Earth,Transit,2021,After 2020,0.013734000000000001,0.1715316,0.1463,0.057768654,0.0,1925.0,13.298
Kepler-1712 b,Neptune-like,Transit,2021,After 2020,0.0183645,0.204,0.0903,0.03778234,0.0,510.0,14.946
Kepler-1713 b,Super Earth,Transit,2021,After 2020,0.011308499999999999,0.1531564,0.1469,0.049281314,0.0,963.0,11.065
Kepler-1714 b,Neptune-like,Transit,2021,After 2020,0.033705,0.291,0.1047,0.028199865,0.0,1336.0,11.041
Kepler-1715 b,Neptune-like,Transit,2021,After 2020,0.0504,0.369,0.2178,0.09746748,0.0,1705.0,12.881
Kepler-1716 b,Neptune-like,Transit,2021,After 2020,0.020349,0.216,0.1916,0.09746748,0.0,638.0,13.129
Kepler-1717 b,Neptune-like,Transit,2021,After 2020,0.029011500000000003,0.267,0.2014,0.08405202,0.0,3291.0,13.323
Kepler-1718 b,Neptune-like,Transit,2021,After 2020,0.022428,0.229,0.4878,0.37015742,0.0,1225.0,12.821
Kepler-1719 b,Neptune-like,Transit,2021,After 2020,0.04662,0.352,0.0674,0.01670089,0.0,2953.0,13.478
Kepler-171 b,Neptune-like,Transit,2014,2010–2020,0.019152,0.209,0.05,0.011498973,0.0,2818.0,15.101
Kepler-171 c,Neptune-like,Transit,2014,2010–2020,0.022302,0.228,0.098,0.031485286,0.0,2818.0,15.101
Kepler-171 d,Super Earth,Transit,2014,2010–2020,0.013324500000000001,0.168588,0.223,0.10841889,0.0,2818.0,15.101
Kepler-1720 b,Neptune-like,Transit,2021,After 2020,0.032760000000000004,0.287,0.1043,0.034770705,0.0,2053.0,14.822
Kepler-1721 b,Neptune-like,Transit,2021,After 2020,0.031185,0.278,0.0519,0.012594113,0.0,2092.0,15.085
Kepler-1722 b,Neptune-like,Transit,2021,After 2020,0.027027,0.256,0.0819,0.025188226,0.0,2519.0,14.997
Kepler-1723 b,Neptune-like,Transit,2021,After 2020,0.0272475,0.257,0.2249,0.10896646,0.0,2646.0,14.383
Kepler-1724 b,Neptune-like,Transit,2021,After 2020,0.026554499999999998,0.253,0.0683,0.01779603,0.0,3460.0,14.961
Kepler-1725 b,Neptune-like,Transit,2021,After 2020,0.026176500000000002,0.251,0.1302,0.045722112,0.0,1822.0,13.153
Kepler-1726 b,Neptune-like,Transit,2021,After 2020,0.021546,0.224,0.1306,0.050376453,0.0,1274.0,13.851
Kepler-1727 b,Neptune-like,Transit,2021,After 2020,0.03213,0.283,0.0796,0.024640657,0.0,2917.0,15.751
Kepler-1728 b,Neptune-like,Transit,2021,After 2020,0.028475999999999998,0.264,0.0535,0.013141684,0.0,2126.0,15.279
Kepler-1729 b,Neptune-like,Transit,2021,After 2020,0.045360000000000004,0.347,0.0418,0.011498973,0.0,1880.0,15.676
Kepler-172 b,Neptune-like,Transit,2014,2010–2020,0.019278,0.21,0.04,0.007939767,0.0,2703.0,14.703
Kepler-172 c,Neptune-like,Transit,2014,2010–2020,0.0269325,0.255,0.068,0.017522246,0.0,2703.0,14.703
Kepler-172 d,Neptune-like,Transit,2014,2010–2020,0.017923500000000002,0.201,0.118,0.039972622,0.0,2703.0,14.703
Kepler-172 e,Neptune-like,Transit,2014,2010–2020,0.0253575,0.246,0.211,0.09609856,0.0,2703.0,14.703
Kepler-1730 b,Neptune-like,Transit,2021,After 2020,0.05796,0.4,0.1131,0.03778234,0.0,4655.0,15.478
Kepler-1731 b,Neptune-like,Transit,2021,After 2020,0.028098,0.262,0.1401,0.059685145,0.0,554.0,12.742
Kepler-1732 b,Neptune-like,Transit,2021,After 2020,0.049455,0.366,0.2015,0.08843258,0.0,4206.0,14.884
Kepler-1733 b,Neptune-like,Transit,2021,After 2020,0.04032,0.324,0.0933,0.025188226,0.0,6787.0,15.612
Kepler-1734 b,Neptune-like,Transit,2021,After 2020,0.030681,0.276,0.0714,0.018617386,0.0,4837.0,15.598
Kepler-1735 b,Super Earth,Transit,2021,After 2020,0.005796,0.1065048,0.0621,0.021081451,0.0,800.0,15.896
Kepler-1736 b,Neptune-like,Transit,2021,After 2020,0.045045,0.346,0.2188,0.103490755,0.0,4665.0,14.808
Kepler-1738 b,Neptune-like,Transit,2021,After 2020,0.026365499999999997,0.252,0.0781,0.021081451,0.0,4250.0,15.649
Kepler-1739 b,Neptune-like,Transit,2021,After 2020,0.020412000000000003,0.217,0.0697,0.019986311,0.0,2556.0,14.899
Kepler-173 b,Super Earth,Transit,2014,2010–2020,0.0069615,0.115068,0.048,0.011772759,0.0,2718.0,14.357
Kepler-173 c,Neptune-like,Transit,2014,2010–2020,0.020412000000000003,0.217,0.074,0.021902807,0.0,2718.0,14.357
Kepler-1740 b,Neptune-like,Transit,2021,After 2020,0.03465,0.296,0.0779,0.022450376,0.0,3463.0,15.454
Kepler-1741 b,Super Earth,Transit,2021,After 2020,0.006804,0.11355159999999999,0.0296,0.007665982,0.0,883.0,16.154
Kepler-1742 b,Neptune-like,Transit,2021,After 2020,0.016947,0.1942776,0.2587,0.13552362,0.0,2184.0,14.512
Kepler-1743 b,Super Earth,Transit,2021,After 2020,0.010017,0.1426308,0.0822,0.020807665,0.0,1758.0,12.062
Kepler-1744 b,Neptune-like,Transit,2021,After 2020,0.042839999999999996,0.336,0.2093,0.10157426,0.0,3561.0,15.566
Kepler-1745 b,Super Earth,Transit,2021,After 2020,0.013797,0.17206680000000002,0.0408,0.008213553,0.0,3249.0,14.854
Kepler-1746 b,Gas Giant,Transit,2021,After 2020,0.186,0.797,0.9453,0.8793977,0.0,3195.0,13.572
Kepler-1747 b,Neptune-like,Transit,2021,After 2020,0.05292,0.381,0.066,0.016974675,0.0,4310.0,16.1966
Kepler-1748 b,Neptune-like,Transit,2021,After 2020,0.0246015,0.242,0.0615,0.015879534,0.0,3534.0,16.004
Kepler-1749 b,Super Earth,Transit,2021,After 2020,0.0101745,0.1438796,0.0956,0.039698835,0.0,875.0,14.95
Kepler-174 b,Super Earth,Transit,2014,2010–2020,0.014175,0.174832,0.1,0.03832991,0.0,1255.0,14.53
Kepler-174 c,Super Earth,Transit,2014,2010–2020,0.0089145,0.132908,0.214,0.120465435,0.0,1255.0,14.53
Kepler-174 d,Neptune-like,Transit,2014,2010–2020,0.017104499999999998,0.195348,0.677,0.67734426,0.0,1255.0,14.53
Kepler-1750 b,Neptune-like,Transit,2021,After 2020,0.09481500000000001,0.536,0.6785,0.56372344,0.0,4884.0,15.702
Kepler-1751 b,Super Earth,Transit,2021,After 2020,0.012537,0.1627008,0.0712,0.019164955,0.0,4213.0,15.455
Kepler-1752 b,Neptune-like,Transit,2021,After 2020,0.058905,0.405,0.2698,0.15441479,0.0,3141.0,16.0249
